,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
175,8.8.2,11.5.1,pearson,two-sided,9,0.6046155751780996,[-0.1   0.91],0.08457499968926879,1.499,0.435833767083178
176,8.8.2,4.5.1,pearson,two-sided,9,-0.25729124528644887,[-0.79  0.49],0.5039110940732432,0.496,0.10323442192321622
177,8.8.2,6.2.1,pearson,two-sided,9,-0.9169629752614434,[-0.98 -0.65],0.0005004907612684512,65.145,0.978058669747285
178,8.8.2,11.5.2,pearson,two-sided,9,0.6879676580664237,[0.04 0.93],0.040512644773019094,2.53,0.5804503972617061
179,8.8.2,12.4.2,pearson,two-sided,9,-0.27642891389253965,[-0.79  0.47],0.4715009875679052,0.512,0.11229203410081787
180,8.8.2,4.3.1,pearson,two-sided,9,-0.9452980165740634,[-0.99 -0.76],0.00011945978638355347,187.414,0.9945939013302886
181,8.8.2,7.2.1,pearson,two-sided,9,-0.8224899952219098,[-0.96 -0.35],0.006492132731248601,9.721,0.8433599876042946
182,8.8.2,2.a.1,pearson,two-sided,9,-0.8993675126857723,[-0.98 -0.58],0.0009634898392143884,40.1,0.9612887052442799
183,8.8.2,6.4.2,pearson,two-sided,9,0.9176754564479439,[0.65 0.98],0.00048596779409808613,66.58,0.9786344130254605
184,8.8.2,6.6.1,pearson,two-sided,9,-0.9721002377307509,[-0.99 -0.87],1.1622495508059563e-05,1030.097,0.9996558172500477
185,8.8.2,3.8.1,pearson,two-sided,9,0.9864714745561092,[0.93 1.  ],9.358098475060799e-07,6393.053,0.999991136733728
186,8.8.2,10.5.1,pearson,two-sided,9,-0.6502795379160384,[-0.92  0.02],0.05792884345580623,1.958,0.5119714976190521
187,8.8.2,6.4.1,pearson,two-sided,9,-0.9843468616707066,[-1.   -0.92],1.5560164349577127e-06,4427.74,0.999980342246708
188,8.8.2,10.7.3,pearson,two-sided,9,0.3604594041836555,[-0.4   0.83],0.3406114548751827,0.608,0.16261757490886478
189,8.8.2,11.1.1,pearson,two-sided,9,-0.958643221616192,[-0.99 -0.81],4.5483906401291e-05,380.565,0.9981439472236244
190,8.8.2,14.b.1,pearson,two-sided,9,0.9864714745561132,[0.93 1.  ],9.358098475051159e-07,6393.053,0.9999911367337281
191,8.8.2,2.c.1,pearson,two-sided,9,-0.44410347177477427,[-0.86  0.31],0.23109544934765536,0.767,0.232542039881996
192,8.8.2,14.1.1,pearson,two-sided,9,-0.8023955377500926,[-0.96 -0.3 ],0.00925347276858881,7.475,0.8052067449820826
193,8.8.2,12.c.1,pearson,two-sided,9,0.984745763508068,[0.93 1.  ],1.4221494189429878e-06,4725.215,0.9999828894509513
194,8.8.2,11.b.1,pearson,two-sided,9,0.7739035766739805,[0.23 0.95],0.014389112926805567,5.393,0.7490577966813196
195,8.8.2,2.2.2,pearson,two-sided,9,0.9289091358254988,[0.69 0.99],0.0002940898716101572,96.505,0.9866159976433562
196,8.8.2,9.5.2,pearson,two-sided,9,-0.8625643208410984,[-0.97 -0.46],0.0027630102693666763,18.338,0.9122135844008943
197,8.8.2,3.4.1,pearson,two-sided,9,0.9727642976488784,[0.87 0.99],1.0689707897023266e-05,1094.753,0.9996916814390534
198,8.8.2,15.5.1,pearson,two-sided,9,-0.9824911903745149,[-1.   -0.92],2.2988951593601013e-06,3338.707,0.9999644872896927
199,8.8.2,8.3.1,pearson,two-sided,9,-0.452496283864374,[-0.86  0.3 ],0.22133792645795447,0.788,0.2408028204966465
200,8.8.2,1.5.4,pearson,two-sided,9,0.8709521262808628,[0.49 0.97],0.0022355303638543753,21.465,0.9248432812258786
201,8.8.2,8.1.1,pearson,two-sided,9,0.0503639838234996,[-0.63  0.69],0.8976159619857349,0.409,0.05079481186018178
202,8.8.2,3.6.1,pearson,two-sided,9,-0.9864714745561095,[-1.   -0.93],9.358098475059995e-07,6393.053,0.999991136733728
203,8.8.2,16.6.1,pearson,two-sided,9,0.471568177101124,[-0.28  0.86],0.20002224869317914,0.84,0.26048410766678365
204,8.8.2,11.b.2,pearson,two-sided,9,0.8709521262808628,[0.49 0.97],0.0022355303638543753,21.465,0.9248432812258786
205,8.8.2,2.2.1,pearson,two-sided,9,0.6680853109014275,[0.01 0.92],0.04920520934843335,2.2,0.543738672278426
206,8.8.2,9.5.1,pearson,two-sided,9,-0.8331148401522597,[-0.96 -0.38],0.005288696984739164,11.319,0.8627375503906055
