,X,Y,method,alternative,n,r,CI95%,p-unc,BF10,power
195,8.8.2,7.2.1,pearson,two-sided,9,-0.8360807130116363,[-0.96 -0.39],0.004982215964325882,11.833,0.8680236158727019
196,8.8.2,2.a.1,pearson,two-sided,9,-0.8177584717808869,[-0.96 -0.34],0.007083350208563012,9.112,0.834533790590232
197,8.8.2,6.4.2,pearson,two-sided,9,0.9728639410403078,[0.87 0.99],1.0554484013104669e-05,1104.939,0.9996968218694338
198,8.8.2,6.6.1,pearson,two-sided,9,-0.9508149128323435,[-0.99 -0.78],8.279451403903537e-05,245.335,0.9963542120648705
199,8.8.2,3.8.1,pearson,two-sided,9,-0.9727429522655912,[-0.99 -0.87],1.0718834380195566e-05,1092.588,0.9996905722035813
200,8.8.2,10.5.1,pearson,two-sided,9,0.9392580686039479,[0.73 0.99],0.00017132353731614462,143.74,0.9921476007354417
201,8.8.2,6.4.1,pearson,two-sided,9,-0.9523455284485418,[-0.99 -0.78],7.423436128318653e-05,265.789,0.9967667645980028
202,8.8.2,10.7.3,pearson,two-sided,9,-0.2736296064233012,[-0.79  0.48],0.4761856866587461,0.509,0.11091527824638225
203,8.8.2,11.1.1,pearson,two-sided,9,0.9869914306791188,[0.94 1.  ],8.162721067717712e-07,7055.846,0.9999928809504596
204,8.8.2,2.c.1,pearson,two-sided,9,-0.15682319596826833,[-0.74  0.57],0.6869977228770988,0.437,0.06817722235693459
205,8.8.2,14.1.1,pearson,two-sided,9,-0.8109994265345788,[-0.96 -0.32],0.007989841731240696,8.334,0.8217458554713944
206,8.8.2,1.1.1,pearson,two-sided,9,0.9511425790537795,[0.78 0.99],8.090627513032617e-05,249.524,0.9964452160462639
